8021e3b6,Knight and Day,2010
32adaa60,War of the Worlds,2005
72c0b6e5,Man on Fire,2004
7e510c52,i am sam,2001
2a7f9b66,The Bone Collector,1999
fd85472f,The Deer Hunter,1978
3309852a,The Bridges of Madison County,1995
f06f0118,The Intern,2015
75ea5b7b,The Pelican Brief,1992
712218b4,Outbreak,1995
58855c29,Rain Man,1988
59533bd6,Good Will Hunting,1997
65d03714,"Good Morning, Vietnam",1987
33acbd5a,The Birdcage,1996
8986b96b,Crimson Tide,1995
782bf84f,Enemy of the State,1998
0a2cc64e,Awakenings,1990